Name, Latitude, Longitude, Image
"KleinEichen",51.826462,9.383187,"http://lh3.googleusercontent.com/Ovuv-uWKuAwfiHQzxwfYWtBu9jpT8nQnv0DaqU6t6_0oVAQf_WDBt6Gn_kFJuO2esde4GanPpNezHeaGjXyl3zx7aVnW"
"Spielplatz an der Saumer",51.820709,9.392826,"http://lh3.googleusercontent.com/m_UZpiU1WwNRo1QVNz4meEuISq7SgaPKhd26iDbIYu1kN3ouHyR2-Puip6CV2HfO1wTtEQvzSrsd_GVI-qOIZ33TG7Y"
"IHS Kreuz 1861",51.820699,9.386998,"http://lh3.googleusercontent.com/6_mFvvpj3mragtqCr6UKWIk4de9BXE5xdVBaLU8siDjqe5p5bK52D9Qk1osr4ic5MS7dS9agHNa9VQBwJ_fe51meYLE"
"Mensch, rette deine Seele",51.822723,9.387182,"http://lh3.googleusercontent.com/2nDd9vN-XI8Nc4pQa_xkQWJcydAfRgcfE2egxYvXDlBlKY1xSryYo9dzRJiGZrpCUdW4-xxIQr31kGUURLZLyILxRw8"
"Infopoint Weserradweg Holzminden",51.824352,9.438443,"http://lh3.googleusercontent.com/jaqwXojBJwKbFSVmgAQIac018HpR1cW3JwRqQFWFx72q15H73XMYcEpt0ofzK73P5ELd54bAsqMv5ezy5KBJZfbooYEM"
"Feuerstelle am Teich",51.82527,9.435449,"http://lh3.googleusercontent.com/qW6iJftdsfWYPd3zCk5tFOZtE61QSl-1lKd6twwjxKhwNfBoWFVS1CdvDAhwLM1KfZyN4qSso7ZCR6CEJ-Kqg1CflE5P"
"Tennis Club Schwarz-Gelb Holzminden e.V.",51.827121,9.438571,"http://lh3.googleusercontent.com/PliKBoHk2KoXBPXeWnWsuTRqOq7YtcvxqzNLXBuVGGSuMTa3xpU-5pOis3em5YRvv31ArNf7PDUQawbqM8XSbYaPlFY"
"Freibad Holzminden",51.826524,9.439847,"http://lh3.googleusercontent.com/edunWERo5kMtpUKBMhNjk5Ed4qNGfn9hcm_WhSeci0xN_rVdEFI6TCX3S0QgpEvlJIhmX11AWqz3UvbHpVp6qXW5J4s"
"Herzlich Willkommen in der Stadt der Dürfte und Aromen",51.826912,9.439618,"http://lh3.googleusercontent.com/A5rJXu0liIFAaBSkNDfa1nAZX6ZTj1TdbQC_4a1l9UClOzHX3UKiH-VElSOCfgGJUVAL71B_Lrf9uEIyUiKcMHbmczg"
"Infotafel: Holzminden-Zentrum /DJH",51.826766,9.444009,"http://lh3.googleusercontent.com/hQPtauBqOnsm9f37-IfDSCDqc-1AZ3mj5MBLTV0iIVzoh-NAZ21j6YK1yivQUevaNcrrFLgcUaSRt1PZX_yczo3wRCA"
